store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,color,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,size,offer1,sell_on_site_url,sell_on_site_label,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,sell_on_other,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,51,pend02,0,Genuine Austrian Crystal 18k White Gold Plated Peacock Pendant Necklace Gift For Women & Girls,Genuine Austrian Crystal 18k White Gold Plated Peacock Pendant Necklace Gift For Women & Girls,Red,Genuine Austrian Crystal 18k White Gold Plated Peacock Pendant Necklace Gift For Women & Girls,/grey.jpg,/grey.jpg,/grey.jpg,/d/s/dscn0714.jpg,peacock-earrings-set,peacock-earrings-set.html,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,Free Size,,http://amzn.to/2eeKu38,By Amazon,1499,399,0.1,,Enabled,No,"Catalog, Search",None,Yes,Genuine Austrian Crystal 18k White Gold Plated Peacock Pendant Necklace Gift For Women & Girls,Pendant Set,Genuine Austrian Crystal 18k White Gold Plated Peacock Pendant Necklace Gift For Women & Girls,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,enable_qty_increments,0,,,Genuine Austrian Crystal 18k White Gold Plated Peacock Pendant Necklace Gift For Women & Girls,0,simple,,
admin,base,Default,simple,51,pend03,0,Gold And Rhodium Plated Pendant For Women - P1128G [Vkp1128G],Gold And Rhodium Plated Pendant For Women - P1128G [Vkp1128G],Maroon,Gold And Rhodium Plated Pendant For Women - P1128G [Vkp1128G],/grey.jpg,/grey.jpg,/grey.jpg,/d/s/dscn0706.jpg,ram-lela-earrings-set,ram-lela-earrings-set.html,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,Free Size,,http://amzn.to/2fv4Dji,By Amazon,830,149,0.1,,Enabled,No,"Catalog, Search",None,Yes,Gold And Rhodium Plated Pendant For Women - P1128G [Vkp1128G],Pendant Set,Gold And Rhodium Plated Pendant For Women - P1128G [Vkp1128G],,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,,,Gold And Rhodium Plated Pendant For Women - P1128G [Vkp1128G],0,simple,,
admin,base,Default,simple,51,pend04,0,Accessorisingg Harry Potter Time Turner Golden Pendant For Girls[PD034],Accessorisingg Harry Potter Time Turner Golden Pendant For Girls[PD034],Red,Accessorisingg Harry Potter Time Turner Golden Pendant For Girls[PD034],/grey.jpg,/grey.jpg,/grey.jpg,,pend49,pend49.html,,No layout updates,Block after Info Column,,,,,Use config,Use config,No,Free Size,,http://amzn.to/2frjGu3,By Amazon,1400,349,0.1,,Enabled,No,"Catalog, Search",None,Yes,Accessorisingg Harry Potter Time Turner Golden Pendant For Girls[PD034],Pendant Set,Accessorisingg Harry Potter Time Turner Golden Pendant For Girls[PD034],,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,,,Accessorisingg Harry Potter Time Turner Golden Pendant For Girls[PD034],0,simple,,
admin,base,Default,simple,51,pend05,0,"Alphabet Collection Initial Letter ""S"" Gold and Rhodium Plated Pendant for Women","Alphabet Collection Initial Letter ""S"" Gold and Rhodium Plated Pendant for Women",Black,"Alphabet Collection Initial Letter ""S"" Gold and Rhodium Plated Pendant for Women",/grey.jpg,/grey.jpg,/grey.jpg,,,,,No layout updates,Block after Info Column,,,,,Use config,Use config,No,Free Size,,http://amzn.to/2eeJGM1,By Amazon,663,99,0.1,,Enabled,No,"Catalog, Search",None,Yes,"Alphabet Collection Initial Letter ""S"" Gold and Rhodium Plated Pendant for Women",Pendant Set,"Alphabet Collection Initial Letter ""S"" Gold and Rhodium Plated Pendant for Women",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,,,"Alphabet Collection Initial Letter ""S"" Gold and Rhodium Plated Pendant for Women",0,simple,,
admin,base,Default,simple,51,pend06,0,Embracing Hearts-in-Love 18K Rose Gold Plated Austrian Crystal Pendant for Girls by Yellow Chimes,Embracing Hearts-in-Love 18K Rose Gold Plated Austrian Crystal Pendant for Girls by Yellow Chimes,Pink,Embracing Hearts-in-Love 18K Rose Gold Plated Austrian Crystal Pendant for Girls by Yellow Chimes,/grey.jpg,/grey.jpg,/grey.jpg,,,,,No layout updates,Block after Info Column,,,,,Use config,Use config,No,Free Size,,http://amzn.to/2fSXNXv,By Amazon,1100,375,0.1,,Enabled,No,"Catalog, Search",None,Yes,Embracing Hearts-in-Love 18K Rose Gold Plated Austrian Crystal Pendant for Girls by Yellow Chimes,Pendant Set,Embracing Hearts-in-Love 18K Rose Gold Plated Austrian Crystal Pendant for Girls by Yellow Chimes,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,,,Embracing Hearts-in-Love 18K Rose Gold Plated Austrian Crystal Pendant for Girls by Yellow Chimes,0,simple,,
admin,base,Default,simple,51,pend07,0,Style Tweak Metal Silver Pendant Necklace For Women & Men,Style Tweak Metal Silver Pendant Necklace For Women & Men,Maroon,Style Tweak Metal Silver Pendant Necklace For Women & Men,/grey.jpg,/grey.jpg,/grey.jpg,,,,,No layout updates,Block after Info Column,,,,,Use config,Use config,No,Free Size,,http://amzn.to/2fv0xrx,By Amazon,999,299,0.1,,Enabled,No,"Catalog, Search",None,Yes,Style Tweak Metal Silver Pendant Necklace For Women & Men,Pendant Set,Style Tweak Metal Silver Pendant Necklace For Women & Men,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,,,Style Tweak Metal Silver Pendant Necklace For Women & Men,0,simple,,
admin,base,Default,simple,51,pend08,0,18K White Gold Plated Blue Austrian Crystal Starshine Trendy Pendant Setfor Women,18K White Gold Plated Blue Austrian Crystal Starshine Trendy Pendant Setfor Women,Red,18K White Gold Plated Blue Austrian Crystal Starshine Trendy Pendant Setfor Women,/grey.jpg,/grey.jpg,/grey.jpg,,,,,No layout updates,Block after Info Column,,,,,Use config,Use config,No,Free Size,,http://amzn.to/2eeHfJd,By Amazon,580,450,0.1,,Enabled,No,"Catalog, Search",None,Yes,18K White Gold Plated Blue Austrian Crystal Starshine Trendy Pendant Setfor Women,Pendant Set,18K White Gold Plated Blue Austrian Crystal Starshine Trendy Pendant Setfor Women,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,,,18K White Gold Plated Blue Austrian Crystal Starshine Trendy Pendant Setfor Women,0,simple,,
admin,base,Default,simple,51,pend09,0,Shining Diva Platinum Plated Crystal Butterfly Necklace for Women,Shining Diva Platinum Plated Crystal Butterfly Necklace for Women,Maroon,Shining Diva Platinum Plated Crystal Butterfly Necklace for Women,/grey.jpg,/grey.jpg,/grey.jpg,,,,,No layout updates,Block after Info Column,,,,,Use config,Use config,No,Free Size,,http://amzn.to/2eNKlQz,By Amazon,1745,349,0.1,,Enabled,No,"Catalog, Search",None,Yes,Shining Diva Platinum Plated Crystal Butterfly Necklace for Women,Pendant Set,Shining Diva Platinum Plated Crystal Butterfly Necklace for Women,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,,,Shining Diva Platinum Plated Crystal Butterfly Necklace for Women,0,simple,,
admin,base,Default,simple,51,pend10,0,Famous Harry Potter Deathly Hallows Pendant for Men And Women,Famous Harry Potter Deathly Hallows Pendant for Men And Women,Red,Famous Harry Potter Deathly Hallows Pendant for Men And Women,/grey.jpg,/grey.jpg,/grey.jpg,,,,,No layout updates,Block after Info Column,,,,,Use config,Use config,No,Free Size,,http://amzn.to/2frfQRw,By Amazon,858,285,0.1,,Enabled,No,"Catalog, Search",None,Yes,Famous Harry Potter Deathly Hallows Pendant for Men And Women,Pendant Set,Famous Harry Potter Deathly Hallows Pendant for Men And Women,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,,,Famous Harry Potter Deathly Hallows Pendant for Men And Women,0,simple,,
admin,base,Default,simple,51,pend11,0,Yellow Chimes Swiss Zircon Rainbow colors Exquisite 16k Rose Gold Plated (Hallmarked) Pendant for women,Yellow Chimes Swiss Zircon Rainbow colors Exquisite 16k Rose Gold Plated (Hallmarked) Pendant for women,Black,Yellow Chimes Swiss Zircon Rainbow colors Exquisite 16k Rose Gold Plated (Hallmarked) Pendant for women,/grey.jpg,/grey.jpg,/grey.jpg,,,,,No layout updates,Block after Info Column,,,,,Use config,Use config,No,Free Size,,http://amzn.to/2f91Yxi,By Amazon,2990,825,0.1,,Enabled,No,"Catalog, Search",None,Yes,Yellow Chimes Swiss Zircon Rainbow colors Exquisite 16k Rose Gold Plated (Hallmarked) Pendant for women,Pendant Set,Yellow Chimes Swiss Zircon Rainbow colors Exquisite 16k Rose Gold Plated (Hallmarked) Pendant for women,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,,,Yellow Chimes Swiss Zircon Rainbow colors Exquisite 16k Rose Gold Plated (Hallmarked) Pendant for women,0,simple,,
